facility_code,facility_name,facility_major_type,facility_type,facility_category,ownership_major,is_private,is_licensed,city_raw,city_norm,barangay,service_capability,doh_level,service_level_weight,bed_capacity,license_status
DOH000000000049664,1 LIFE INC.,Health Facility,Medical Outpatient Clinic,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,SANTO DOMINGO,,0,1.5,0,Licensing Status:With License
DOH000000000051115,1 SEALANDERS MEDICAL CLINIC OPC,Health Facility,Medical Facility for Overseas Workers & Seafarers,other,Private,1,1,PACO,MANILA,BARANGAY 675,Regular Medical Facility (Overseas workers & Seafarers),0,1.0,0,Licensing Status:With License
DOH000000000040931,130 DOCTORS POLYCLINIC LABORATORY,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF TAGUIG,TAGUIG,WESTERN BICUTAN,,0,1.5,0,Licensing Status:With License
DOH000000000040909,1421 MEDICAL LABORATORY,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF TAGUIG,TAGUIG,LIGID-TIPAS,,0,1.5,0,Licensing Status:With License
DOH000000000053177,1COOPHEALTH CLINIC,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,PINYAHAN,,0,1.5,0,Licensing Status:With License
DOH000000000040452,3 KINGS BIRTHING HOME,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF MALABON,MALABON,TA?ONG (POB.),,0,1.5,1,Licensing Status:With License
DOH000000000048350,3 STAR MEDICAL CLINIC AND DIAGNOSTIC CENTER INC.,Health Facility,Medical Facility for Overseas Workers & Seafarers,other,Private,1,1,QUEZON CITY,QUEZON CITY,SOUTH TRIANGLE,,0,1.0,0,Licensing Status:With License
DOH000000000033213,3M'S 24 HRS. LYING-IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,QUEZON CITY,QUEZON CITY,BATASAN HILLS,,0,1.5,1,Licensing Status:With License
DOH000000000008279,3S BAGBAGUIN HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF VALENZUELA,VALENZUELA,BAGBAGUIN,,0,1.5,0,
DOH000000000012254,3S MARULAS HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,1,CITY OF VALENZUELA,VALENZUELA,MARULAS,,0,1.5,0,Licensing Status:With License
DOH000000000048122,4L DIAGNOSTIC CENTER,Health Facility,Medical Facility for Overseas Workers & Seafarers,other,Private,1,1,MALATE,MANILA,BARANGAY 693,,0,1.0,0,Licensing Status:With License
DOH000000000049378,51ST ENGINEER BRIGADE DRUG TESTING CENTER,Health Facility,Drug Testing Laboratory,laboratory,Government,0,1,QUEZON CITY,QUEZON CITY,LIBIS,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000049502,958 E. RODRIGUEZ SR. AVE.,Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,QUEZON CITY,QUEZON CITY,MARIANA,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000043608,A BC MEDICAL AND DIAGNOSTIC CLINIC,Health Facility,Clinical Laboratory,clinic,Private,1,1,SANTA CRUZ,MANILA,BARANGAY 341,,0,1.5,0,Licensing Status:With License
DOH000000000051637,A PLUS CARE MEDICAL CLINIC AND LABORATORY,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF MAKATI,MAKATI,BANGKAL,,0,1.5,0,Licensing Status:With License
DOH000000000051646,A&AMP;K VALDEZ MEDICAL CLINIC,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 171,,0,1.5,0,Licensing Status:With License
DOH000000000041626,A+ DIALYSIS CENTER,Health Facility,Dialysis Clinic,dialysis,Private,1,1,QUEZON CITY,QUEZON CITY,SACRED HEART,,0,2.0,0,Licensing Status:With License
DOH000000000040525,A. ELADIA BIRTHING &AMP; MIDWIFE CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF VALENZUELA,VALENZUELA,MAPULANG LUPA,,0,1.5,1,Licensing Status:With License
DOH000000000040459,A. ESPINO LYING-IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF MALABON,MALABON,POTRERO,,0,1.5,1,Licensing Status:With License
DOH000000000041097,A. FRANCISCO FAMILY CLINIC,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF PARA?AQUE,PARANAQUE,DON GALO,,0,1.5,0,Licensing Status:With License
DOH000000000005026,A. ZARATE GENERAL HOSPITAL,Health Facility,Hospital,hospital,Private,1,1,CITY OF LAS PI?AS,LAS PINAS,PULANG LUPA DOS,Level 1,1,2.5,17,Licensing Status:With License
DOH000000000005181,A.A. ZAPA HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF CALOOCAN,CALOOCAN,BARANGAY 34,,0,1.5,0,
DOH000000000041009,A.C. ALVARADO CLINICAL AND DIAGNOSTIC CENTER,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF PASIG,PASIG,MANGGAHAN,,0,1.5,0,Licensing Status:With License
DOH000000000043605,A.C.E. BIRTHING HOME,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 176-A,,0,1.5,2,Licensing Status:With License
DOH000000000054161,A.D BIRTHING HOME,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF MARIKINA,MARIKINA,FORTUNE,,0,1.5,1,Licensing Status:With License
DOH000000000040465,A.LORENZO-MEDIANA LYING-IN,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 167,,0,1.5,3,Licensing Status:With License
DOH000000000040569,A.N. RODRIGUEZ MATERNITY &AMP; MEDICAL CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 133,,0,1.5,5,Licensing Status:With License
DOH000000000047476,A1 WATER TESTING LAB INC.,Health Facility,Laboratory for Drinking Water Analysis,laboratory,Private,1,1,CITY OF PASIG,PASIG,KAPASIGAN,,0,1.0,0,Licensing Status:With License
DOH000000000051656,AB.CARE MEDPLAZA MEDICAL AND DIAGNOSTIC CLINIC,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,MATANDANG BALARA,,0,1.5,0,Licensing Status:With License
DOH000000000041001,ABIARD DIAGNOSTICS MEDICAL LABORATORY,Health Facility,Clinical Laboratory,clinic,Private,1,1,SAN MIGUEL,MANILA,BARANGAY 641,,0,1.5,0,Licensing Status:With License
DOH000000000047474,"ACA WATER ANALYSIS AND LABORATORY SERVICES, INC.",Health Facility,Laboratory for Drinking Water Analysis,laboratory,Private,1,1,QUEZON CITY,QUEZON CITY,ROXAS,,0,1.0,0,Licensing Status:With License
DOH000000000007285,ACACIA HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF MALABON,MALABON,ACACIA,,0,1.5,0,
DOH000000000053178,ACCESS LABORATORY INC.,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 83,,0,1.5,0,Licensing Status:With License
DOH000000000039172,ACCRES DIAGNOSTIC CENTER,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 176-A,Level 1,1,2.5,0,Licensing Status:With License
DOH000000000053077,ACCU-BEST DIAGNOSTIC &AMP; LABORATORY CORP.,Health Facility,Clinical Laboratory,clinic,Private,1,1,SANTA CRUZ,MANILA,BARANGAY 328,,0,1.5,0,Licensing Status:With License
DOH000000000039371,ACCU-MED MANILA DIAGNOSTIC AND LABORATORY CORP.,Health Facility,Clinical Laboratory,clinic,Private,1,1,TONDO I/II,MANILA,BARANGAY 263,Level 2,2,3.0,0,Licensing Status:With License
DOH000000000053075,ACCU-MED MEDICAL SERVICES,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF PARA?AQUE,PARANAQUE,SAN DIONISIO,,0,1.5,0,Licensing Status:With License
DOH000000000053076,ACCUCARE DIAGNOSTIC CENTER INC.,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,PINYAHAN,,0,1.5,0,Licensing Status:With License
DOH000000000049380,ACCUDETEK HEALTH DIAGNOSTICS,Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,CITY OF PASIG,PASIG,SAN NICOLAS (POB.),Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000049381,ACCURATUS NP &AMP; DRUG TESTING CENTER,Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,QUEZON CITY,QUEZON CITY,BAGONG LIPUNAN NG CRAME,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000051653,ACCUREAD DIAGNOSTIC LABORATORY,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF PASIG,PASIG,PINAGBUHATAN,,0,1.5,0,Licensing Status:With License
DOH000000000040868,"ACCUSERV DIAGNOSTIC LABORATORY, INC.",Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,E. RODRIGUEZ,,0,1.5,0,Licensing Status:With License
DOH000000000053041,ACCUSERV PLUS DIAGNOSTIC CENTER INC.,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,SANTO DOMINGO,,0,1.5,0,Licensing Status:With License
DOH000000000052447,ACCUTEQS DIAGNOSTICS,Health Facility,Laboratory for Drinking Water Analysis,laboratory,Private,1,1,QUEZON CITY,QUEZON CITY,SAN JOSE,,0,1.0,0,Licensing Status:With License
DOH000000000049040,ACE COR MEDICAL SERVICES,Health Facility,Ambulance Service Provider,ambulance,Private,1,1,SAMPALOC,MANILA,BARANGAY 524,,0,0.5,0,Licensing Status:With License
DOH000000000040747,ACE DIAGNOSTICS CORPORATION,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,FAIRVIEW,,0,1.5,0,Licensing Status:With License
DOH000000000040760,ACE DIAGNOSTICS CORPORATION - NOVALICHES,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,GULOD,,0,1.5,0,Licensing Status:With License
DOH000000000053040,ACE DIAGNOSTICS CORPORATION - VALENZUELA,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF VALENZUELA,VALENZUELA,GEN. T. DE LEON,,0,1.5,0,Licensing Status:With License
DOH000000000004706,ACEBEDO GENERAL HOSPITAL,Health Facility,Hospital,hospital,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 175,Level 1,1,2.5,16,Licensing Status:With License
DOH000000000040552,ACG BIRTHING HOME &AMP; DIAGNOSTIC LABORATORY CO.,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF NAVOTAS,NAVOTAS,SAN JOSE (POB.),,0,1.5,2,Licensing Status:With License
DOH000000000053039,ACQURA DIAGNOSTIC CENTER CORPORATION,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,DON MANUEL,,0,1.5,0,Licensing Status:With License
DOH000000000051648,ACTFA MEDICAL LABORATORY &AMP; DIAGNOSTICS CORP.,Health Facility,Clinical Laboratory,clinic,Private,1,1,SANTA CRUZ,MANILA,BARANGAY 352,,0,1.5,0,Licensing Status:With License
DOH000000000040467,ADCURALABS,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,WEST TRIANGLE,,0,1.5,0,Licensing Status:With License
DOH000000000025827,ADDITION HILLS HEALTH STATION,Health Facility,Barangay Health Station,bhs,Government,0,0,CITY OF SAN JUAN,SAN JUAN,ADDITION HILLS,,0,1.5,0,
DOH000000000003676,ADMIRAL HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF LAS PI?AS,LAS PINAS,TALON TRES,,0,1.5,0,
DOH000000000053038,ADVANCED HEALTHLAB,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF PASIG,PASIG,ROSARIO,,0,1.5,0,Licensing Status:With License
DOH000000000039251,ADVANCED LAB SOLUTIONS,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF MAKATI,MAKATI,POBLACION,,0,1.5,0,Licensing Status:With License
DOH000000000040599,ADVENTCARE MATERNITY CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF LAS PI?AS,LAS PINAS,B. F. INTERNATIONAL VILLAGE,,0,1.5,2,Licensing Status:With License
DOH000000000006034,ADVENTIST MEDICAL CENTER MANILA,Health Facility,Hospital,hospital,Private,1,1,PASAY CITY,PASAY,BARANGAY 35,Level 3,3,4.0,150,Licensing Status:With License
DOH000000000039238,AEGLE WELLNESS CENTER INC.,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF MAKATI,MAKATI,BEL-AIR,,0,1.5,0,Licensing Status:With License
DOH000000000049038,AEROMED AMBULANCE TRANSPORT INC.,Health Facility,Ambulance Service Provider,ambulance,Private,1,1,QUEZON CITY,QUEZON CITY,E. RODRIGUEZ,,0,0.5,0,Licensing Status:With License
DOH000000000047451,AERONICS INCORPORATED - ENVIRONMENTAL LABORATORY DIVISION,Health Facility,Laboratory for Drinking Water Analysis,laboratory,Private,1,1,QUEZON CITY,QUEZON CITY,NORTH FAIRVIEW,,0,1.0,0,Licensing Status:With License
DOH000000000049384,AFP MEDICAL CENTER,Health Facility,Drug Testing Laboratory,laboratory,Government,0,1,QUEZON CITY,QUEZON CITY,PINYAHAN,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000040834,AIM DIAGNOSTIC LABORATORY,Health Facility,Clinical Laboratory,clinic,Private,1,1,TONDO I/II,MANILA,BARANGAY 90,,0,1.5,0,Licensing Status:With License
DOH000000000046433,"AIP DERMATOLOGY &AMP; SURGERY CENTER, INC.",Health Facility,Ambulatory Surgical Clinic,clinic,Private,1,1,CITY OF SAN JUAN,SAN JUAN,GREENHILLS,,0,1.5,0,Licensing Status:With License
DOH000000000049385,AIR FORCE DRUG TESTING CENTER,Health Facility,Drug Testing Laboratory,laboratory,Government,0,1,PASAY CITY,PASAY,BARANGAY 183,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000002244,AIR FORCE GENERAL HOSPITAL,Health Facility,Hospital,hospital,Government,0,1,PASAY CITY,PASAY,BARANGAY 183,Level 2,2,3.0,100,Licensing Status:With License
DOH000000000050171,AJA MULTISPECIALTY DIAGNOSTIC AND MATERNITY CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF VALENZUELA,VALENZUELA,UGONG,,0,1.5,7,Licensing Status:With License
DOH000000000049386,AJV DRUG TESTING LABORATORY,Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,CITY OF VALENZUELA,VALENZUELA,MALINTA,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000054716,AK DIALYSIS CENTER CORP.,Health Facility,Dialysis Clinic,dialysis,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 16,,0,2.0,0,Licensing Status:With License
DOH000000000052377,AK DIALYSIS CENTER CORP.,Health Facility,Dialysis Clinic,dialysis,Private,1,1,QUEZON CITY,QUEZON CITY,QUIRINO 2-B,,0,2.0,0,Licensing Status:With License
DOH000000000002237,ALABANG HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF MUNTINLUPA,MUNTINLUPA,ALABANG,,0,1.5,0,
DOH000000000000403,ALABANG MEDICAL CENTER,Health Facility,Hospital,hospital,Private,1,1,CITY OF MUNTINLUPA,MUNTINLUPA,ALABANG,Level 1,1,2.5,18,Licensing Status:With License
DOH000000000004702,ALABANG MEDICAL CLINIC,Health Facility,Hospital,hospital,Private,1,1,CITY OF MUNTINLUPA,MUNTINLUPA,ALABANG,Level 1,1,2.5,18,Licensing Status:With License
DOH000000000039214,ALABANG MEDICAL CLINIC - ALMANZA,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF LAS PI?AS,LAS PINAS,ALMANZA UNO,,0,1.5,0,Licensing Status:With License
DOH000000000004395,ALABANG MEDICAL CLINIC - LAS PIÑAS BRANCH,Health Facility,Hospital,hospital,Private,1,1,CITY OF LAS PI?AS,LAS PINAS,TALON UNO,Level 1,1,2.5,18,Licensing Status:With License
DOH000000000007497,ALABANG MEDICAL CLINIC - MUNTINLUPA BRANCH,Health Facility,Hospital,hospital,Private,1,1,CITY OF MUNTINLUPA,MUNTINLUPA,PUTATAN,Level 1,1,2.5,25,Licensing Status:With License
DOH000000000040989,ALABANG ULTRASOUND DIAGNOSTIC CENTER,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF MUNTINLUPA,MUNTINLUPA,ALABANG,,0,1.5,0,Licensing Status:With License
DOH000000000040502,ALAMEDA MEDICAL AND DENTAL CENTRE,Health Facility,Birthing Home,birthing,Private,1,1,SANTA ANA,MANILA,BARANGAY 750,,0,1.5,2,Licensing Status:With License
DOH000000000049037,ALB AMBULANCE RESCUE SERVICES,Health Facility,Ambulance Service Provider,ambulance,Private,1,1,QUEZON CITY,QUEZON CITY,DAMAYAN,,0,0.5,0,Licensing Status:With License
DOH000000000040872,ALCHEON MEDICAL CLINIC AND DIAGNOSTIC LABORATORY,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF MANDALUYONG,MANDALUYONG,WACK-WACK GREENHILLS,,0,1.5,0,Licensing Status:With License
DOH000000000050208,ALDREJ BIRTHING HOME,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF MUNTINLUPA,MUNTINLUPA,CUPANG,,0,1.5,4,Licensing Status:With License
DOH000000000039291,ALEJANDRO DOCTORS MEDICAL CLINIC,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF MAKATI,MAKATI,GUADALUPE NUEVO,,0,1.5,0,Licensing Status:With License
DOH000000000003039,ALFONSO SPECIALIST HOSPITAL,Health Facility,Hospital,hospital,Private,1,1,CITY OF PASIG,PASIG,ROSARIO,Level 1,1,2.5,22,Licensing Status:With License
DOH000000000040554,ALJ MEDICAL MATERNITY & LYING IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,QUEZON CITY,QUEZON CITY,BATASAN HILLS,,0,1.5,3,Licensing Status:With License
DOH000000000040548,ALJ MEDICAL MATERNITY &AMP; LYING IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,QUEZON CITY,QUEZON CITY,COMMONWEALTH,,0,1.5,1,Licensing Status:With License
DOH000000000037036,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - PATEROS, INC.",Health Facility,Hospital,hospital,Private,1,1,PATEROS,PATEROS,AGUHO,Level 2,2,3.0,58,Licensing Status:With License
DOH000000000037012,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - QUEZON CITY, INC.",Health Facility,Hospital,hospital,Private,1,1,QUEZON CITY,QUEZON CITY,BAHAY TORO,Level 2,2,3.0,100,Licensing Status:With License
DOH000000000049388,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - VALENZUELA, INC.",Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,CITY OF VALENZUELA,VALENZUELA,MALANDAY,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000032019,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER VALENZUELA, INC.",Health Facility,Hospital,hospital,Private,1,1,CITY OF VALENZUELA,VALENZUELA,MALANDAY,Level 2,2,3.0,82,Licensing Status:With License
DOH000000000051110,ALLIED CARE EXPERTS (ACE) MEDICAL CENTER – MANDALUYONG INC.,Health Facility,Hospital,hospital,Private,1,1,CITY OF MANDALUYONG,MANDALUYONG,DAANG BAKAL,Level 2,2,3.0,27,Licensing Status:With License
DOH000000000049389,ALLIED DRUG TESTING CENTER,Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,QUEZON CITY,QUEZON CITY,PINYAHAN,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000050181,ALM LYING IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 171,,0,1.5,3,Licensing Status:With License
DOH000000000000813,ALMANZA II HEALTH CENTER (T. S. CRUZ HC),Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF LAS PI?AS,LAS PINAS,ALMANZA DOS,,0,1.5,0,
DOH000000000000812,ALMANZA UNO HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,1,CITY OF LAS PI?AS,LAS PINAS,ALMANZA UNO,,0,1.5,0,Licensing Status:With License
DOH000000000041628,ALMAZAN RENAL CARE CENTER INC.,Health Facility,Dialysis Clinic,dialysis,Private,1,1,QUEZON CITY,QUEZON CITY,TANDANG SORA,,0,2.0,0,Licensing Status:With License
DOH000000000049036,ALPHA CARE EMERGENCY MEDICAL SERVICES INC.,Health Facility,Ambulance Service Provider,ambulance,Private,1,1,CITY OF LAS PI?AS,LAS PINAS,PULANG LUPA UNO,,0,0.5,0,Licensing Status:With License
DOH000000000055034,ALPHA IVF (MANILA) INCORPORATED,Health Facility,Ambulatory Surgical Clinic,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,PINYAHAN,,0,1.5,0,Licensing Status:With License
DOH000000000054667,ALPHALAB DIAGNOSTIC CENTER INC.,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,BAGONG LIPUNAN NG CRAME,,0,1.5,0,Licensing Status:With License
DOH000000000040795,ALPHASTAR LABORATORY DIAGNOSTIC AND MULTISPECIALTY CLINIC,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,MATANDANG BALARA,,0,1.5,0,Licensing Status:With License
DOH000000000043861,ALRAFA CARDIOVASCULAR DIAGNOSTIC CENTER,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 87,,0,1.5,0,Licensing Status:With License
DOH000000000049049,ALS LIFE SUPPORT SERVICES INC.,Health Facility,Ambulance Service Provider,ambulance,Private,1,1,PASAY CITY,PASAY,BARANGAY 191,,0,0.5,0,Licensing Status:With License
DOH000000000053035,ALTA-JLB MEDICAL SUPPLIES AND DIAGNOSTIC CENTER INC.,Health Facility,Clinical Laboratory,clinic,Private,1,1,PASAY CITY,PASAY,BARANGAY 59,,0,1.5,0,Licensing Status:With License
DOH000000000040783,ALU - TUCP MEDICAL CENTER,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,OLD CAPITOL SITE,,0,1.5,0,Licensing Status:With License
DOH000000000040510,ALVETTE MEDICAL AND LYING-IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 167,,0,1.5,2,Licensing Status:With License
DOH000000000043847,"ALVIAR MEDICAL LABORATORIES, INC.",Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF MAKATI,MAKATI,PIO DEL PILAR,Level 1,1,2.5,0,Licensing Status:With License
DOH000000000043616,"ALVIAR MEDICAL LABORATORIES, INC.",Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF MUNTINLUPA,MUNTINLUPA,ALABANG,,0,1.5,0,Licensing Status:With License
DOH000000000007460,AMADO T. REYES HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF MANDALUYONG,MANDALUYONG,BUROL,,0,1.5,0,
DOH000000000003872,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,Health Facility,Hospital,hospital,Government,0,1,CITY OF MARIKINA,MARIKINA,SANTO NI?O,Level 3,3,4.0,300,Licensing Status:With License
DOH000000000051451,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER (ARMMC) AGARANG GAMUTAN AT ATENSYON PARA SA PAMAYANAN (AGAP) CENTER,Health Facility,Bagong Urgent Care and Ambulatory Service,other,Government,0,0,CITY OF MARIKINA,MARIKINA,SANTO NI?O,,0,1.0,0,
DOH000000000039187,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER (CARTRIDGE - BASED PCR),Health Facility,COVID-19 Testing Laboratory,laboratory,Government,0,1,CITY OF MARIKINA,MARIKINA,SANTO NI?O,,0,1.0,0,Licensing Status:With License
DOH000000000049039,AMBUCARE EMS SOLUTIONS,Health Facility,Ambulance Service Provider,ambulance,Private,1,1,QUEZON CITY,QUEZON CITY,GULOD,,0,0.5,0,Licensing Status:With License
DOH000000000049043,AMBUCORE AMBULANCE,Health Facility,Ambulance Service Provider,ambulance,Private,1,1,QUEZON CITY,QUEZON CITY,SANTA TERESITA,,0,0.5,0,Licensing Status:With License
DOH000000000052114,AMBUCORE GENERAL MERCHANDISE,Health Facility,Ambulance Service Provider,ambulance,Private,1,1,QUEZON CITY,QUEZON CITY,SANTA TERESITA,,0,0.5,0,Licensing Status:With License
DOH000000000054576,AMBULANCE SERVICE CODEBLUE EMERGENCY,Health Facility,Ambulance Service Provider,ambulance,Private,1,1,SANTA ANA,MANILA,BARANGAY 763,,0,0.5,0,Licensing Status:With License
DOH000000000044243,AMBULATORY HEALTH CARE INSTITUTE INCORPORATED,Health Facility,Ambulatory Surgical Clinic,clinic,Private,1,1,CITY OF MANDALUYONG,MANDALUYONG,WACK-WACK GREENHILLS,,0,1.5,0,Licensing Status:With License
DOH000000000049390,"AMBULATORY HEALTH CARE INSTITUTE, INC. (CLINICA MANILA)",Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,CITY OF MANDALUYONG,MANDALUYONG,WACK-WACK GREENHILLS,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000048092,"AMDG-ASCLEPIUS MEDICAL AND DIAGNOSTIC GROUP, INC.",Health Facility,Medical Facility for Overseas Workers & Seafarers,other,Private,1,1,CITY OF MAKATI,MAKATI,BANGKAL,,0,1.0,0,Licensing Status:With License
DOH000000000049391,"AMERICAN BIO-CLINICAL LABORATORIES, INTERNATIONAL",Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,CITY OF MUNTINLUPA,MUNTINLUPA,ALABANG,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000048141,AMERICAN OUTPATIENT CLINIC,Health Facility,Medical Facility for Overseas Workers & Seafarers,other,Private,1,1,INTRAMUROS,MANILA,BARANGAY 656,,0,1.0,0,Licensing Status:With License
DOH000000000049393,AMGB DRUG TESTING LABORATORY,Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,QUEZON CITY,QUEZON CITY,BAGONG LIPUNAN NG CRAME,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000040971,AMOS DIAGNOSTIC CLINIC,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF VALENZUELA,VALENZUELA,PASO DE BLAS,,0,1.5,0,Licensing Status:With License
DOH000000000048143,AMOSUP SEAMEN'S HOSPITAL,Health Facility,Medical Facility for Overseas Workers & Seafarers,other,Private,1,1,INTRAMUROS,MANILA,BARANGAY 658,,0,1.0,0,Licensing Status:With License
DOH000000000004976,AMPARO HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF CALOOCAN,CALOOCAN,BARANGAY 179,,0,1.5,0,
DOH000000000051013,AMPARO MATERNITY CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 179,,0,1.5,5,Licensing Status:With License
DOH000000000040574,AMURAO MEDICAL CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,PASAY CITY,PASAY,BARANGAY 175,,0,1.5,2,Licensing Status:With License
DOH000000000000814,ANA HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF CALOOCAN,CALOOCAN,BARANGAY 28,,0,1.5,0,
